,target,input-data,num_char,num_words,num_sent,cleaned_text
0,0,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",111,24,3,jurong point crazi avail bugi n great world la e buffet cine got amor wat
1,0,Ok lar... Joking wif u oni...,29,8,2,ok lar joke wif u oni
2,1,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,155,31,2,free entri wkli comp win fa cup final tkt st text receiv questionstd txt ratetc appli over
3,0,U dun say so early hor... U c already then say...,49,13,2,u dun earli hor c
4,0,"Nah I don't think he goes to usf, he lives around here though",61,15,1,nah nt think goe usf live
5,1,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",148,39,4,freemsg hey darl week word d like fun tb ok xxx std chg send rcv
6,0,Even my brother is not like to speak with me. They treat me like aids patent.,77,18,2,brother like speak treat aid patent
7,0,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,160,32,2,request mell oru minnaminungint nurungu vettam set callertun caller press copi friend
8,1,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,158,32,5,winner valu network custom select receivea prize reward claim code kl valid hour
9,1,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,154,31,2,mobil month u r entitl updat latest colour camera free co
10,0,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",109,28,3,m gon na home soon nt want talk stuff anymor tonight k ve cri today
11,1,"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",136,34,3,chanc win cash pound txt csh send cost pday day tsandc appli repli hl info
12,1,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",156,30,3,urgent won week free membership prize jackpot txt word claim tc wwwdbuknet lccltd pobox ldnwarw
13,0,I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.,196,42,3,ve search right word thank breather promis wo nt help grant fulfil wonder bless time
14,0,I HAVE A DATE ON SUNDAY WITH WILL!!,35,10,1,date sunday
15,1,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",149,24,2,xxxmobilemovieclub use credit click wap link txt messag httpwap xxxmobilemovieclubcomnqjkgighjjgcbl
16,0,Oh k...i'm watching here:),26,7,1,oh kim watch
17,0,Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.,81,22,3,eh u rememb spell ye v naughti wet
18,0,Fine if thatåÕs the way u feel. ThatåÕs the way its gota b,58,14,2,fine thatåõ way u feel gota b
19,1,"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/Ì¼1.20 POBOXox36504W45WQ 16+",156,34,2,england v macedonia nt miss goalsteam news txt ur nation team eg trywal scotland poboxoxwwq
20,0,Is that seriously how you spell his name?,41,9,1,serious spell
21,0,IÛ÷m going to try for 2 months ha ha only joking,49,11,1,go tri month ha joke
22,0,So Ì_ pay first lar... Then when is da stock comin...,53,14,2,ì pay lar da stock comin
23,0,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,88,23,4,aft finish lunch str lor ard smth u ur
24,0,Ffffffffff. Alright no way I can meet up with you sooner?,57,13,2,ffffffffff alright way meet sooner
25,0,Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol,144,35,6,forc eat slice m hungri tho suck mark get worri know sick turn pizza lol
26,0,Lol your always so convincing.,30,6,1,lol convinc
27,0,Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?,134,34,5,catch bu fri egg tea eat mom left dinner feel love
28,0,"I'm back &amp; we're packing the car now, I'll let you know if there's room",75,22,1,m amp pack car ill let know s room
29,0,Ahhh. Work. I vaguely remember that! What does it feel like? Lol,64,16,5,ahhh work vagu rememb feel like lol
30,0,"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us",130,30,1,wait s clear sure sarcast x nt want live
31,0,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,48,6,yeah got v apologet n fallen actin like spoilt child caught till wo nt badli cheer
32,0,K tell me anything about you.,29,7,1,k tell
